goal_index,goal_name,goal_x,goal_y,success,planning_time_s,navigation_time_s,recovery_count,min_scan_range_m,failure_reason
1,走廊东端（开阔）,7.5,0.0,no,,29.92,17,0.122,FAILED
2,R2 房间内（U 形障碍）,6.5,4.5,yes,,49.87,2,0.120,
3,R1 窄门口另一侧,-2.2,1.5,no,,29.14,16,0.122,FAILED
4,R3 西南角（遮挡区）,-6.5,-4.5,no,,25.99,15,0.559,FAILED
5,回起点,0.0,0.0,no,,27.00,15,0.596,FAILED
