goal_index,goal_name,goal_x,goal_y,success,planning_time_s,navigation_time_s,recovery_count,min_scan_range_m,failure_reason
1,走廊东端（开阔）,7.5,0.0,no,,186.49,19,0.230,FAILED
2,R2 房间内（U 形障碍）,6.5,4.5,no,,21.20,15,0.527,FAILED
3,R1 窄门口另一侧,-2.2,1.5,no,,75.04,25,0.230,FAILED
4,R3 西南角（遮挡区）,-6.5,-4.5,no,,36.96,19,0.242,FAILED
5,回起点,0.0,0.0,no,,23.99,17,0.399,FAILED
