goal_index,goal_name,goal_x,goal_y,success,planning_time_s,navigation_time_s,recovery_count,min_scan_range_m,failure_reason
1,走廊东端（开阔）,7.5,0.0,yes,,86.34,5,0.230,
2,R2 房间内（U 形障碍）,6.5,4.5,no,,25.23,17,0.232,FAILED
3,R1 窄门口另一侧,-2.2,1.5,no,,53.03,22,0.230,FAILED
4,R3 西南角（遮挡区）,-6.5,-4.5,no,,83.97,19,0.230,FAILED
5,回起点,0.0,0.0,yes,,74.61,7,0.230,
