timestamp,cpu_percent,rss_mb
1785751549.223,5.00,53.66
1785751551.225,52.40,55.16
1785751553.228,5.50,55.16
1785751555.229,8.50,56.09
1785751557.232,8.00,56.09
1785751559.233,6.00,56.09
1785751561.236,5.00,56.09
1785751563.237,8.50,56.09
1785751565.240,5.00,56.09
1785751567.241,5.50,56.09
1785751569.243,8.50,56.09
1785751571.245,4.50,56.09
1785751573.248,5.50,56.09
1785751575.249,5.00,56.09
1785751577.252,7.00,56.09
1785751579.253,5.50,56.09
1785751581.256,5.50,56.09
1785751583.257,8.50,56.09
1785751585.260,7.00,57.59
1785751587.261,5.50,57.59
1785751589.264,7.50,57.59
1785751591.265,5.50,57.59
1785751593.268,9.00,57.59
1785751595.269,5.00,57.59
1785751597.272,4.50,57.59
1785751599.273,9.00,57.59
1785751601.276,6.00,57.59
1785751603.277,8.50,57.59
1785751605.280,5.00,57.59
1785751607.281,9.00,57.59
1785751609.282,5.00,57.59
1785751611.284,7.50,57.59
1785751613.285,6.00,57.59
1785751615.288,7.50,57.59
1785751617.289,5.50,57.59
1785751619.292,8.50,57.59
1785751621.293,7.00,57.59
1785751623.296,6.00,57.59
1785751625.297,7.50,57.59
1785751627.299,6.00,57.59
1785751629.301,7.00,57.59
1785751631.303,7.00,57.59
1785751633.305,5.50,57.59
1785751635.308,6.00,57.59
1785751637.309,6.50,57.59
1785751639.310,7.00,57.59
1785751641.312,5.00,57.59
1785751643.313,6.50,57.59
1785751645.315,5.50,57.59
1785751647.317,6.00,57.59
1785751649.319,6.00,57.59
1785751651.321,6.00,57.59
1785751653.324,6.00,57.59
1785751655.325,6.00,57.59
1785751657.327,6.00,57.59
1785751659.329,6.00,57.59
1785751661.332,73.90,58.53
1785751663.333,6.00,58.53
1785751665.335,7.00,58.53
1785751667.337,7.00,59.28
1785751669.340,9.00,59.28
1785751671.341,7.00,59.28
1785751673.344,6.00,59.28
1785751675.345,7.00,59.28
1785751677.348,6.00,59.28
1785751679.349,6.00,59.28
1785751681.352,7.00,59.28
1785751683.353,7.50,59.28
1785751685.356,6.50,59.28
1785751687.358,7.00,59.28
1785751689.360,7.00,59.47
1785751691.361,9.00,59.47
1785751693.364,5.50,59.47
1785751695.365,8.50,59.47
1785751697.368,5.00,59.47
1785751699.369,8.50,59.47
1785751701.372,6.50,59.47
1785751703.374,6.50,59.47
1785751705.376,9.50,59.47
1785751707.377,4.50,59.47
1785751709.380,8.50,59.47
1785751711.381,3.50,59.47
