goal_index,goal_name,goal_x,goal_y,success,planning_time_s,navigation_time_s,recovery_count,min_scan_range_m,failure_reason
1,走廊东端（开阔）,7.5,0.0,no,,40.68,19,0.300,FAILED
2,R2 房间内（U 形障碍）,6.5,4.5,no,,81.98,17,0.306,FAILED
3,R1 窄门口另一侧,-2.2,1.5,no,,36.99,15,0.300,FAILED
4,R3 西南角（遮挡区）,-6.5,-4.5,no,,21.99,15,0.474,FAILED
5,回起点,0.0,0.0,no,,51.00,17,0.300,FAILED
